Spotify Rank,song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Boulevard of Broken Dreams,Green Day,0.5025,1.5025,2.5025,3.5025,4.5025,0.0000,0.0492,0.4817,0.6894
1,In The End,Linkin Park,0.5491,0.8537,0.8019,0.0529,0.0103,0.0000,0.0996,0.3760,0.4344
2,Seven Nation Army,The White Stripes,0.7467,0.4629,0.7667,0.0842,0.0082,0.4483,0.2503,0.3293,0.5112
3,By The Way,Red Hot Chili Peppers,0.4569,0.9709,0.8384,0.1137,0.0265,0.0036,0.0934,0.2012,0.5053
4,How You Remind Me,Nickelback,0.4529,0.7665,0.8352,0.0333,0.0010,0.0000,0.1047,0.5833,0.7099
5,Bring Me To Life,Evanescence,0.3202,0.9459,0.8822,0.1318,0.0090,0.0000,0.3949,0.3252,0.7838
6,Last Resort,Papa Roach,0.5887,0.8878,0.8700,0.0663,0.0005,0.0011,0.2637,0.7358,0.3738
7,Are You Gonna Be My Girl,Jet,0.6211,0.9539,0.8756,0.0909,0.0015,0.0006,0.1447,0.5457,0.4335
8,Mr. Brightside,The Killers,0.3343,0.9369,0.8700,0.0974,0.0011,0.0000,0.0838,0.2378,0.6112
9,Sex on Fire,Kings of Leon,0.5491,0.9058,0.8206,0.0574,0.0017,0.0104,0.1283,0.3801,0.6330
10,The Middle,Jimmy Eat World,0.6373,0.8978,0.8764,0.0513,0.0426,0.0000,0.2585,0.9451,0.6683
11,Numb,Linkin Park,0.5025,0.8637,0.8578,0.0405,0.0046,0.0000,0.6441,0.2470,0.4540
12,Smooth Criminal,Alien Ant Farm,0.6555,0.9649,0.8560,0.0638,0.0044,0.0036,0.1427,0.8892,0.5239
13,Can't Stop,Red Hot Chili Peppers,0.6261,0.9389,0.8754,0.0485,0.0180,0.0000,0.1601,0.8892,0.3774
14,Chop Suey!,System Of A Down,0.4255,0.9299,0.8641,0.1286,0.0004,0.0007,0.1139,0.3049,0.5249
15,Take Me Out,Franz Ferdinand,0.2817,0.6763,0.7421,0.0394,0.0004,0.0009,0.1283,0.5020,0.4314
16,I Miss You,blink-182,0.6677,0.7785,0.8016,0.0403,0.0014,0.0000,0.0751,0.6331,0.4540
17,Best of You,Foo Fighters,0.3749,0.9449,0.8373,0.0815,0.0070,0.0000,0.1273,0.3506,0.5378
18,I Write Sins Not Tragedies,Panic! At The Disco,0.5745,0.7956,0.8372,0.1424,0.0942,0.0000,0.1057,0.6453,0.7018
19,Kryptonite,3 Doors Down,0.5522,0.8657,0.8193,0.0304,0.0067,0.0000,0.1611,0.5518,0.4086
20,The Kill (Bury Me),Thirty Seconds To Mars,0.3131,0.9128,0.8645,0.0687,0.0014,0.0003,0.5857,0.3069,0.7554
21,Use Somebody,Kings of Leon,0.2796,0.7154,0.8280,0.0459,0.0055,0.0004,0.1950,0.1758,0.5655
22,No One Knows,Queens of the Stone Age,0.5248,0.5380,0.8165,0.0516,0.0138,0.0004,0.1334,0.6982,0.7055
23,Jerk It Out,Caesars,0.5876,0.9820,0.8962,0.0638,0.0172,0.0000,0.3847,0.8750,0.5530
24,Uprising,Muse,0.6099,0.9058,0.8605,0.0824,0.0002,0.0642,0.1088,0.4177,0.5283
25,Hey There Delilah,Plain White T's,0.6657,0.2905,0.6987,0.0311,0.8755,0.0000,0.1057,0.3028,0.4291
26,Blurry,Puddle Of Mudd,0.4458,0.9329,0.8495,0.0621,0.0102,0.0000,0.1344,0.5030,0.6497
27,American Idiot,Green Day,0.3850,0.9890,0.9101,0.0679,0.0000,0.0001,0.3662,0.7815,0.7681
28,Welcome to the Black Parade,My Chemical Romance,0.2199,0.9058,0.8590,0.0799,0.0003,0.0001,0.2165,0.2398,0.4001
29,Gives You Hell,The All-American Rejects,0.7234,0.7254,0.8018,0.0427,0.0157,0.0000,0.0633,0.5996,0.4126
30,All My Life,Foo Fighters,0.5897,0.5972,0.8202,0.0544,0.0002,0.0003,0.5190,0.6850,0.6922
31,Like a Stone,Audioslave,0.6221,0.5681,0.8250,0.0293,0.0080,0.0000,0.0911,0.5244,0.4451
32,It's Been Awhile,Staind,0.5157,0.7745,0.8603,0.0359,0.0019,0.0006,0.1355,0.0837,0.4809
33,I Hate Everything About You,Three Days Grace,0.5046,0.8306,0.8329,0.0447,0.0046,0.0000,0.1314,0.4604,0.3687
34,Rollin' (Air Raid Vehicle),Limp Bizkit,0.6069,0.9329,0.8782,0.1913,0.0051,0.0000,0.2647,0.7033,0.3971
35,Fat Lip,Sum 41,0.5816,0.9118,0.8325,0.0760,0.0006,0.0000,0.0677,0.5823,0.4047
36,The Pretender,Foo Fighters,0.4387,0.9599,0.8606,0.0458,0.0009,0.0000,0.0175,0.3709,0.7139
37,Savior,Rise Against,0.5562,0.9309,0.8748,0.0518,0.0016,0.0001,0.3888,0.5346,0.4640
38,Bodies,Drowning Pool,0.6646,0.9329,0.8763,0.0752,0.0035,0.0015,0.1365,0.5528,0.5403
39,"Sugar, We're Goin Down",Fall Out Boy,0.5056,0.8246,0.8432,0.0844,0.0090,0.0000,0.1560,0.7104,0.6684
40,Last Nite,The Strokes,0.6322,0.8998,0.8192,0.0313,0.0224,0.0002,0.0888,0.8100,0.4294
